age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48.0, Self-emp-inc,72292.58, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
26.0, Private,99535.12, Assoc-voc,13.0, Divorced, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
72.0, Local-gov,224622.31, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,15.0, United-States, <=50K
26.0, Local-gov,219075.11, Masters,16.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,16.0, United-States, >50K
51.0, Private,203979.1, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
90.0, Private,147256.77, Some-college,10.0, Widowed, Adm-clerical, Not-in-family, Black, Female,0.0,0.0,12.0, United-States, <=50K
43.0, Private,13492.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
22.0, Self-emp-not-inc,13492.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
29.0, State-gov,59069.16, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, Private,13492.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0.0,0.0,1.0, United-States, <=50K
28.0, Federal-gov,170088.61, Assoc-voc,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,97891.66, HS-grad,9.0, Widowed, Sales, Not-in-family, White, Female,0.0,0.0,20.0, United-States, <=50K
30.0, Private,13492.0, 12th,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, White, Female,99999.0,0.0,50.0, United-States, >50K
30.0, Private,220298.05, Some-college,11.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,36.0, Puerto-Rico, <=50K
32.0, Private,13492.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,183544.77, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,192590.97, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,45.0, Germany, <=50K
40.0, State-gov,120579.48, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,5.0, ?, <=50K
17.0, Local-gov,220161.44, Bachelors,13.0, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K
29.0, State-gov,99054.984, Some-college,10.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,24.096483, United-States, <=50K
39.0, Private,13492.0, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,149669.25, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Private,13492.0, HS-grad,9.0, Separated, Other-service, Unmarried, Black, Female,0.0,0.0,32.0, United-States, <=50K
28.0, Federal-gov,13492.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Private,1210504.0, Some-college,10.0, Divorced, Adm-clerical, Other-relative, Black, Female,0.0,0.0,25.0, United-States, <=50K
33.0, Private,180435.08, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private,124716.4, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, Private,50196.387, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,1210504.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
28.0, Federal-gov,150945.6, Some-college,10.0, Never-married, Adm-clerical, Own-child, Black, Female,0.0,0.0,36.0, United-States, <=50K
49.0, Private,176978.31, 7th-8th,1.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,238469.95, Assoc-voc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
33.0, Self-emp-inc,110164.26, Prof-school,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Female,0.0,0.0,40.0, Iran, >50K
48.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,13492.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,37.0, United-States, <=50K
17.0, Private,131760.53, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, England, <=50K
37.0, Private,13492.0, Some-college,9.0, Divorced, Sales, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
23.0, Private,178252.28, Assoc-acdm,11.8546, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
